note_id,overall_quality,engagement_score,professionalism,completeness
note_0104,0.773,0.863,0.54,0.757
note_0105,0.399,0.392,0.592,0.281
note_0106,0.603,0.572,0.843,0.559
note_0107,0.568,0.707,0.498,0.708
note_0108,0.524,0.552,0.291,0.37
note_0109,0.607,0.412,0.57,0.643
note_0110,0.509,0.18,0.312,0.524
note_0111,0.675,0.733,0.691,0.367
note_0112,0.354,0.14,0.474,0.622
note_0113,0.706,0.776,0.286,0.793
note_0114,0.548,0.421,0.835,0.652
note_0115,0.717,0.634,0.821,0.441
note_0116,0.691,0.847,0.602,0.75
note_0117,0.511,0.795,0.202,0.742
note_0118,0.644,0.77,0.771,0.292
note_0119,0.405,0.299,0.52,0.588
note_0120,0.468,0.389,0.815,0.06
note_0121,0.611,0.42,0.44,0.874
note_0122,0.553,0.591,0.665,0.361
note_0123,0.653,0.606,0.356,0.593
note_0124,0.616,0.806,0.853,0.394
note_0125,0.56,0.783,0.214,0.497
note_0126,0.535,0.324,0.147,0.704
note_0127,0.608,0.758,0.788,0.695
note_0128,0.39,0.573,0.9,0.435
note_0129,0.503,0.607,0.424,0.757
note_0130,0.662,0.708,0.634,0.69
note_0131,0.435,0.457,0.674,0.187
note_0132,0.567,0.603,0.904,0.517
note_0133,0.479,0.559,0.52,0.375
note_0134,0.546,0.7,0.548,0.744
note_0135,0.449,0.52,0.288,0.34
note_0136,0.522,0.557,0.671,0.438
note_0137,0.343,0.513,0.432,0.349
note_0138,0.413,0.577,0.082,0.421
note_0139,0.685,0.542,0.893,0.527
note_0140,0.581,0.849,0.47,0.751
note_0141,0.514,0.468,0.416,0.405
note_0142,0.74,0.692,0.741,0.773
note_0143,0.548,0.458,0.512,0.639
note_0144,0.41,0.14,0.582,0.513
note_0145,0.517,0.477,0.688,0.327
note_0146,0.601,0.869,0.816,0.633
note_0147,0.316,0.149,0.805,0.401
note_0148,0.668,0.928,0.513,0.376
note_0149,0.632,0.488,0.477,0.63
note_0150,0.667,0.479,0.633,0.552
note_0151,0.523,0.632,0.585,0.84
note_0152,0.689,0.414,0.809,0.876
note_0153,0.474,0.319,0.288,0.852
note_0154,0.491,0.432,0.626,0.386
note_0155,0.626,0.359,0.908,0.82
note_0156,0.594,0.547,0.556,0.696
note_0157,0.582,0.366,0.685,0.351
note_0158,0.513,0.244,0.653,0.585
note_0159,0.468,0.507,0.486,0.688
note_0160,0.4,0.392,0.239,0.507
note_0161,0.641,0.279,0.749,0.861
note_0162,0.585,0.895,0.604,0.392
note_0163,0.506,0.52,0.676,0.665
note_0164,0.557,0.737,0.496,0.708
