note_id,topics,topic_vector
note_0053,"[""应用案例"", ""分子模拟"", ""结构预测""]","[1, 1, 0, 0, 0, 0, 0, 1]"
note_0054,"[""方法学""]","[0, 0, 0, 0, 0, 0, 1, 0]"
note_0055,"[""方法学""]","[0, 0, 0, 0, 0, 0, 1, 0]"
note_0056,"[""方法学"", ""结构预测""]","[1, 0, 0, 0, 0, 0, 1, 0]"
note_0057,"[""方法学"", ""分子模拟""]","[0, 1, 0, 0, 0, 0, 1, 0]"
note_0058,"[""结构预测""]","[1, 0, 0, 0, 0, 0, 0, 0]"
note_0059,"[""方法学"", ""结构预测""]","[1, 0, 0, 0, 0, 0, 1, 0]"
note_0060,"[""应用案例"", ""机器学习""]","[0, 0, 1, 0, 0, 0, 0, 1]"
note_0061,"[""应用案例"", ""机器学习""]","[0, 0, 1, 0, 0, 0, 0, 1]"
note_0062,"[""方法学""]","[0, 0, 0, 0, 0, 0, 1, 0]"
note_0063,"[""方法学"", ""结构预测""]","[1, 0, 0, 0, 0, 0, 1, 0]"
note_0064,"[""应用案例"", ""机器学习"", ""结构预测""]","[1, 0, 1, 0, 0, 0, 0, 1]"
note_0065,"[""应用案例"", ""结构预测""]","[1, 0, 0, 0, 0, 0, 0, 1]"
note_0066,"[""结构预测""]","[1, 0, 0, 0, 0, 0, 0, 0]"
note_0067,"[""方法学"", ""结构预测""]","[1, 0, 0, 0, 0, 0, 1, 0]"
note_0068,"[""应用案例"", ""机器学习"", ""分子模拟""]","[0, 1, 1, 0, 0, 0, 0, 1]"
note_0069,"[""方法学"", ""结构预测""]","[1, 0, 0, 0, 0, 0, 1, 0]"
note_0070,"[""应用案例"", ""机器学习"", ""结构预测""]","[1, 0, 1, 0, 0, 0, 0, 1]"
note_0071,"[""机器学习""]","[0, 0, 1, 0, 0, 0, 0, 0]"
note_0072,"[""应用案例"", ""结构预测""]","[1, 0, 0, 0, 0, 0, 0, 1]"
note_0073,"[""方法学"", ""结构预测""]","[1, 0, 0, 0, 0, 0, 1, 0]"
note_0074,"[""分子模拟""]","[0, 1, 0, 0, 0, 0, 0, 0]"
note_0075,"[""方法学"", ""结构预测""]","[1, 0, 0, 0, 0, 0, 1, 0]"
note_0076,"[""机器学习""]","[0, 0, 1, 0, 0, 0, 0, 0]"
note_0077,"[""结构预测""]","[1, 0, 0, 0, 0, 0, 0, 0]"
note_0078,"[""应用案例"", ""机器学习""]","[0, 0, 1, 0, 0, 0, 0, 1]"
note_0079,"[""应用案例"", ""机器学习""]","[0, 0, 1, 0, 0, 0, 0, 1]"
note_0080,"[""应用案例"", ""机器学习""]","[0, 0, 1, 0, 0, 0, 0, 1]"
note_0081,"[""应用案例"", ""结构预测""]","[1, 0, 0, 0, 0, 0, 0, 1]"
note_0082,"[""方法学""]","[0, 0, 0, 0, 0, 0, 1, 0]"
note_0083,"[""方法学"", ""分子模拟""]","[0, 1, 0, 0, 0, 0, 1, 0]"
note_0084,"[""方法学""]","[0, 0, 0, 0, 0, 0, 1, 0]"
note_0085,"[""方法学""]","[0, 0, 0, 0, 0, 0, 1, 0]"
note_0086,"[""方法学""]","[0, 0, 0, 0, 0, 0, 1, 0]"
note_0087,"[""方法学"", ""分子模拟""]","[0, 1, 0, 0, 0, 0, 1, 0]"
note_0088,"[""机器学习"", ""方法学""]","[0, 0, 1, 0, 0, 0, 1, 0]"
note_0089,"[""应用案例"", ""分子模拟"", ""结构预测""]","[1, 1, 0, 0, 0, 0, 0, 1]"
note_0090,"[""方法学""]","[0, 0, 0, 0, 0, 0, 1, 0]"
note_0091,"[""方法学"", ""结构预测""]","[1, 0, 0, 0, 0, 0, 1, 0]"
note_0092,"[""应用案例""]","[0, 0, 0, 0, 0, 0, 0, 1]"
note_0093,"[""应用案例""]","[0, 0, 0, 0, 0, 0, 0, 1]"
note_0094,"[""应用案例"", ""结构预测""]","[1, 0, 0, 0, 0, 0, 0, 1]"
note_0095,"[""方法学""]","[0, 0, 0, 0, 0, 0, 1, 0]"
note_0096,"[""应用案例"", ""机器学习"", ""结构预测""]","[1, 0, 1, 0, 0, 0, 0, 1]"
note_0097,"[""方法学"", ""分子模拟""]","[0, 1, 0, 0, 0, 0, 1, 0]"
note_0098,"[""应用案例"", ""机器学习""]","[0, 0, 1, 0, 0, 0, 0, 1]"
note_0099,"[""方法学"", ""结构预测""]","[1, 0, 0, 0, 0, 0, 1, 0]"
note_0100,"[""应用案例""]","[0, 0, 0, 0, 0, 0, 0, 1]"
note_0101,"[""机器学习""]","[0, 0, 1, 0, 0, 0, 0, 0]"
note_0102,"[""分子模拟""]","[0, 1, 0, 0, 0, 0, 0, 0]"
note_0103,"[""方法学"", ""结构预测""]","[1, 0, 0, 0, 0, 0, 1, 0]"
note_0104,"[""方法学"", ""结构预测""]","[1, 0, 0, 0, 0, 0, 1, 0]"
note_0105,"[""应用案例"", ""结构预测""]","[1, 0, 0, 0, 0, 0, 0, 1]"
note_0106,"[""应用案例"", ""机器学习""]","[0, 0, 1, 0, 0, 0, 0, 1]"
note_0107,"[""方法学""]","[0, 0, 0, 0, 0, 0, 1, 0]"
note_0108,"[""应用案例"", ""机器学习""]","[0, 0, 1, 0, 0, 0, 0, 1]"
note_0109,"[""应用案例"", ""分子模拟""]","[0, 1, 0, 0, 0, 0, 0, 1]"
note_0110,"[""应用案例"", ""结构预测""]","[1, 0, 0, 0, 0, 0, 0, 1]"
note_0111,"[""结构预测""]","[1, 0, 0, 0, 0, 0, 0, 0]"
note_0112,"[""机器学习""]","[0, 0, 1, 0, 0, 0, 0, 0]"
note_0113,"[""机器学习"", ""方法学""]","[0, 0, 1, 0, 0, 0, 1, 0]"
note_0114,"[""方法学"", ""结构预测""]","[1, 0, 0, 0, 0, 0, 1, 0]"
note_0115,"[""方法学"", ""结构预测""]","[1, 0, 0, 0, 0, 0, 1, 0]"
note_0116,"[""应用案例"", ""结构预测""]","[1, 0, 0, 0, 0, 0, 0, 1]"
note_0117,"[""方法学""]","[0, 0, 0, 0, 0, 0, 1, 0]"
note_0118,"[""结构预测""]","[1, 0, 0, 0, 0, 0, 0, 0]"
note_0119,"[""方法学"", ""结构预测""]","[1, 0, 0, 0, 0, 0, 1, 0]"
note_0120,"[""机器学习""]","[0, 0, 1, 0, 0, 0, 0, 0]"
note_0121,"[""应用案例""]","[0, 0, 0, 0, 0, 0, 0, 1]"
note_0122,"[""方法学"", ""结构预测""]","[1, 0, 0, 0, 0, 0, 1, 0]"
note_0123,"[""分子模拟""]","[0, 1, 0, 0, 0, 0, 0, 0]"
note_0124,"[""应用案例"", ""结构预测""]","[1, 0, 0, 0, 0, 0, 0, 1]"
note_0125,"[""应用案例""]","[0, 0, 0, 0, 0, 0, 0, 1]"
note_0126,"[""机器学习"", ""方法学""]","[0, 0, 1, 0, 0, 0, 1, 0]"
note_0127,"[""机器学习"", ""方法学""]","[0, 0, 1, 0, 0, 0, 1, 0]"
note_0128,"[""结构预测""]","[1, 0, 0, 0, 0, 0, 0, 0]"
note_0129,"[""应用案例"", ""结构预测""]","[1, 0, 0, 0, 0, 0, 0, 1]"
note_0130,"[""方法学"", ""结构预测""]","[1, 0, 0, 0, 0, 0, 1, 0]"
note_0131,"[""结构预测""]","[1, 0, 0, 0, 0, 0, 0, 0]"
note_0132,"[""方法学""]","[0, 0, 0, 0, 0, 0, 1, 0]"
note_0133,"[""机器学习"", ""方法学""]","[0, 0, 1, 0, 0, 0, 1, 0]"
note_0134,"[""机器学习"", ""方法学""]","[0, 0, 1, 0, 0, 0, 1, 0]"
note_0135,"[""应用案例""]","[0, 0, 0, 0, 0, 0, 0, 1]"
note_0136,"[""机器学习"", ""方法学"", ""结构预测""]","[1, 0, 1, 0, 0, 0, 1, 0]"
note_0137,"[""方法学"", ""结构预测""]","[1, 0, 0, 0, 0, 0, 1, 0]"
note_0138,"[""机器学习"", ""方法学""]","[0, 0, 1, 0, 0, 0, 1, 0]"
note_0139,"[""应用案例"", ""结构预测""]","[1, 0, 0, 0, 0, 0, 0, 1]"
note_0140,"[""方法学""]","[0, 0, 0, 0, 0, 0, 1, 0]"
note_0141,"[""应用案例"", ""机器学习""]","[0, 0, 1, 0, 0, 0, 0, 1]"
note_0142,"[""方法学"", ""结构预测""]","[1, 0, 0, 0, 0, 0, 1, 0]"
note_0143,"[""应用案例"", ""结构预测""]","[1, 0, 0, 0, 0, 0, 0, 1]"
note_0144,"[""方法学"", ""结构预测""]","[1, 0, 0, 0, 0, 0, 1, 0]"
note_0145,"[""结构预测""]","[1, 0, 0, 0, 0, 0, 0, 0]"
note_0146,"[""方法学""]","[0, 0, 0, 0, 0, 0, 1, 0]"
note_0147,"[""机器学习"", ""方法学""]","[0, 0, 1, 0, 0, 0, 1, 0]"
note_0148,"[""应用案例"", ""结构预测""]","[1, 0, 0, 0, 0, 0, 0, 1]"
note_0149,"[""机器学习"", ""方法学""]","[0, 0, 1, 0, 0, 0, 1, 0]"
note_0150,"[""机器学习"", ""方法学""]","[0, 0, 1, 0, 0, 0, 1, 0]"
note_0151,"[""方法学""]","[0, 0, 0, 0, 0, 0, 1, 0]"
note_0152,"[""方法学"", ""结构预测""]","[1, 0, 0, 0, 0, 0, 1, 0]"
note_0153,"[""应用案例""]","[0, 0, 0, 0, 0, 0, 0, 1]"
note_0154,"[""机器学习"", ""方法学"", ""结构预测""]","[1, 0, 1, 0, 0, 0, 1, 0]"
note_0155,"[""应用案例""]","[0, 0, 0, 0, 0, 0, 0, 1]"
note_0156,"[""机器学习"", ""结构预测""]","[1, 0, 1, 0, 0, 0, 0, 0]"
note_0157,"[""疾病研究""]","[0, 0, 0, 0, 0, 1, 0, 0]"
note_0158,"[""方法学""]","[0, 0, 0, 0, 0, 0, 1, 0]"
note_0159,"[""应用案例"", ""机器学习"", ""结构预测""]","[1, 0, 1, 0, 0, 0, 0, 1]"
note_0160,"[""应用案例"", ""结构预测""]","[1, 0, 0, 0, 0, 0, 0, 1]"
note_0161,"[""应用案例""]","[0, 0, 0, 0, 0, 0, 0, 1]"
note_0162,"[""方法学"", ""分子模拟""]","[0, 1, 0, 0, 0, 0, 1, 0]"
note_0163,"[""方法学"", ""分子模拟""]","[0, 1, 0, 0, 0, 0, 1, 0]"
note_0164,"[""应用案例""]","[0, 0, 0, 0, 0, 0, 0, 1]"
