user_id,register_time,research_fields,active_period,reading_preferences,interaction_tendency,follower_count,following_count,activity_level,user_type
user_0017,2023-12-29 00:00:00,"[""蛋白质-配体相互作用"", ""癌症生物学""]",night,"[""经典方法"", ""算法解读""]","{""like"": 0.6248725055121787, ""collect"": 0.33719364513393, ""comment"": 0.20539334160480988, ""share"": 0.33898985197204495, ""follow"": 0.2828081431126943}",56,21,low,industry
user_0018,2023-07-25 00:00:00,"[""膜蛋白"", ""抗体设计""]",afternoon,"[""实验技巧""]","{""like"": 0.8742161927855713, ""collect"": 0.3527114985217385, ""comment"": 0.45811442871968183, ""share"": 0.05048009585673065, ""follow"": 0.6848117097893884}",5,28,medium,student
user_0019,2023-12-31 00:00:00,"[""结构生物学"", ""NMR""]",morning,"[""应用案例""]","{""like"": 0.47864028539022146, ""collect"": 0.5136458556975181, ""comment"": 0.08663636307147073, ""share"": 0.30860076991334007, ""follow"": 0.3108083601653644}",137,27,medium,student
user_0020,2025-02-27 00:00:00,"[""蛋白质结构预测"", ""罕见病研究"", ""冷冻电镜""]",evening,"[""新闻动态"", ""经典方法""]","{""like"": 0.45540906773154927, ""collect"": 0.5570686113053833, ""comment"": 0.14225346371972677, ""share"": 0.0934585043174775, ""follow"": 0.38347116713168833}",15,275,low,student
user_0021,2023-01-20 00:00:00,"[""酶催化""]",evening,"[""技术教程"", ""新闻动态""]","{""like"": 0.3213669747932616, ""collect"": 0.7137945883436341, ""comment"": 0.18432208386255636, ""share"": 0.33291084008662924, ""follow"": 0.8046526640757858}",8,26,low,student
user_0022,2023-06-29 00:00:00,"[""膜蛋白"", ""蛋白质结构预测""]",afternoon,"[""综述文章"", ""应用案例""]","{""like"": 0.7215509257307576, ""collect"": 0.5503585744817336, ""comment"": 0.1430342534692313, ""share"": 0.07015635776260502, ""follow"": 0.37760349347806876}",46,16,low,student
user_0023,2023-10-10 00:00:00,"[""蛋白质结构预测""]",evening,"[""应用案例""]","{""like"": 0.6990340690826208, ""collect"": 0.264427484282743, ""comment"": 0.4169501073417025, ""share"": 0.5405810657392672, ""follow"": 0.4722178498337178}",14,3,high,student
user_0024,2023-07-23 00:00:00,"[""结构生物学""]",evening,"[""实验技巧""]","{""like"": 0.45020005811131725, ""collect"": 0.1728578368959047, ""comment"": 0.03067814887603246, ""share"": 0.13919238803383702, ""follow"": 0.029214886539795547}",38,11,low,researcher
user_0025,2025-05-13 00:00:00,"[""质谱分析""]",morning,"[""技术教程"", ""最新论文""]","{""like"": 0.5130931312939535, ""collect"": 0.17919895769844274, ""comment"": 0.22661163138160945, ""share"": 0.16806544659190323, ""follow"": 0.38811999856754914}",4,6,medium,student
user_0026,2023-05-18 00:00:00,"[""扩散模型"", ""蛋白质组学""]",evening,"[""最新论文""]","{""like"": 0.511582575467113, ""collect"": 0.3704197145231412, ""comment"": 0.46980172714707724, ""share"": 0.16189254565715944, ""follow"": 0.12309967121350751}",16,77,medium,researcher
user_0027,2023-07-31 00:00:00,"[""蛋白质组学""]",afternoon,"[""综述文章"", ""经典方法""]","{""like"": 0.6688906709355887, ""collect"": 0.43872304953299673, ""comment"": 0.17655014235232006, ""share"": 0.13604333977363417, ""follow"": 0.4438669899500964}",0,413,medium,researcher
user_0028,2023-01-07 00:00:00,"[""癌症生物学""]",evening,"[""经典方法"", ""应用案例""]","{""like"": 0.7857760161690268, ""collect"": 0.32850412460003725, ""comment"": 0.4599109907189749, ""share"": 0.051373865504620204, ""follow"": 0.38925197441777243}",13,9,medium,student
user_0029,2023-04-11 00:00:00,"[""虚拟筛选"", ""膜蛋白""]",morning,"[""最新论文""]","{""like"": 0.4703276350765851, ""collect"": 0.4235498994676988, ""comment"": 0.35374887582826037, ""share"": 0.06889888366523042, ""follow"": 0.7860535452141543}",21,30,medium,researcher
user_0030,2023-09-10 00:00:00,"[""AlphaFold""]",morning,"[""综述文章""]","{""like"": 0.3521036787762687, ""collect"": 0.26114328947257637, ""comment"": 0.31134482590554075, ""share"": 0.25927185373749484, ""follow"": 0.2750026960189865}",103,6,low,researcher
user_0031,2023-07-23 00:00:00,"[""代谢工程""]",evening,"[""经典方法""]","{""like"": 0.5660873571962004, ""collect"": 0.23078121565689147, ""comment"": 0.5886911729697184, ""share"": 0.11569777899020389, ""follow"": 0.6677340293922243}",43,54,low,researcher
user_0032,2025-03-06 00:00:00,"[""蛋白质工程"", ""AlphaFold""]",afternoon,"[""新闻动态""]","{""like"": 0.4240469031428685, ""collect"": 0.4500562591021771, ""comment"": 0.37626843461576426, ""share"": 0.20897100362037305, ""follow"": 0.22232300210996164}",44,4,medium,newbie
user_0033,2023-07-24 00:00:00,"[""质谱分析"", ""深度学习"", ""膜蛋白""]",evening,"[""最新论文""]","{""like"": 0.37843736065779604, ""collect"": 0.26527115718108085, ""comment"": 0.18305982086877345, ""share"": 0.026738715902291595, ""follow"": 0.45227036714787366}",119,22,medium,researcher
user_0034,2024-03-11 00:00:00,"[""代谢工程"", ""图神经网络""]",evening,"[""经典方法""]","{""like"": 0.8791787970245026, ""collect"": 0.43477047947296016, ""comment"": 0.055156650566464176, ""share"": 0.07314658298496984, ""follow"": 0.32972018267504033}",30,31,medium,researcher
user_0035,2023-05-27 00:00:00,"[""酶催化""]",evening,"[""实验技巧"", ""应用案例""]","{""like"": 0.4864434414997809, ""collect"": 0.5910963350691496, ""comment"": 0.14670584563843733, ""share"": 0.06744144720711134, ""follow"": 0.4528243916845106}",100,23,low,student
user_0036,2023-04-24 00:00:00,"[""生物信息学"", ""冷冻电镜""]",night,"[""应用案例"", ""综述文章""]","{""like"": 0.5863063178130219, ""collect"": 0.29485378906871346, ""comment"": 0.1509743074261376, ""share"": 0.1571600254557164, ""follow"": 0.6678084348458525}",5,5,high,student
user_0037,2023-03-16 00:00:00,"[""图神经网络"", ""深度学习""]",afternoon,"[""应用案例"", ""技术教程""]","{""like"": 0.7849339668562256, ""collect"": 0.6505956636780318, ""comment"": 0.19193068937104252, ""share"": 0.24537772225441806, ""follow"": 0.5553749929056263}",142,18,low,student
user_0038,2023-01-13 00:00:00,"[""罕见病研究"", ""抗体设计"", ""AlphaFold""]",evening,"[""经典方法""]","{""like"": 0.6170970555192064, ""collect"": 0.08620225716212407, ""comment"": 0.15848731076647116, ""share"": 0.11946136359584644, ""follow"": 0.7795309665782421}",34,14,low,researcher
user_0039,2023-03-08 00:00:00,"[""神经退行性疾病""]",night,"[""最新论文""]","{""like"": 0.4858463027201568, ""collect"": 0.5797813130165788, ""comment"": 0.30914897563732086, ""share"": 0.006373358414220286, ""follow"": 0.6849397991995896}",21,41,medium,student
user_0040,2023-07-09 00:00:00,"[""蛋白质工程""]",evening,"[""综述文章""]","{""like"": 0.24593796968794845, ""collect"": 0.4849282666383959, ""comment"": 0.2040952190151052, ""share"": 0.27055284962062487, ""follow"": 0.8144333372228573}",333,44,medium,student
user_0041,2024-05-08 00:00:00,"[""免疫学"", ""质谱分析""]",night,"[""经典方法"", ""应用案例""]","{""like"": 0.7697492958660825, ""collect"": 0.5823581368855132, ""comment"": 0.12689946024599924, ""share"": 0.06622241130483436, ""follow"": 0.74488180312194}",101,14,medium,researcher
user_0042,2023-01-24 00:00:00,"[""膜蛋白""]",morning,"[""应用案例""]","{""like"": 0.5410329036860457, ""collect"": 0.33191897470115095, ""comment"": 0.3557694375498256, ""share"": 0.05545583557605233, ""follow"": 0.3445243888255194}",15,3,low,industry
user_0043,2024-05-15 00:00:00,"[""虚拟筛选""]",morning,"[""经典方法""]","{""like"": 0.8593446636791485, ""collect"": 0.34054924702815736, ""comment"": 0.45697663456750787, ""share"": 0.5279273390851014, ""follow"": 0.8331599093924955}",28,16,high,industry
user_0044,2023-06-19 00:00:00,"[""蛋白质结构预测"", ""深度学习""]",evening,"[""技术教程"", ""综述文章""]","{""like"": 0.7339978508792967, ""collect"": 0.10382128422793814, ""comment"": 0.0864202335069587, ""share"": 0.1693010173339697, ""follow"": 0.35291811378404786}",12,4,medium,industry
user_0045,2023-05-17 00:00:00,"[""蛋白质折叠"", ""免疫学""]",evening,"[""应用案例"", ""实验技巧""]","{""like"": 0.7721531863433403, ""collect"": 0.44463029028616435, ""comment"": 0.04588209948684215, ""share"": 0.16467618404045847, ""follow"": 0.6205725172432192}",6,11,low,student
user_0046,2023-06-22 00:00:00,"[""蛋白质组学""]",evening,"[""实验技巧"", ""算法解读""]","{""like"": 0.5420059927982742, ""collect"": 0.028348126231547574, ""comment"": 0.1542737142225726, ""share"": 0.10062250356342187, ""follow"": 0.42897608629495815}",1,2,medium,researcher
user_0047,2023-05-14 00:00:00,"[""罕见病研究""]",afternoon,"[""技术教程"", ""最新论文""]","{""like"": 0.8093958931359749, ""collect"": 0.15062657203112909, ""comment"": 0.3394139708893075, ""share"": 0.32552655223462196, ""follow"": 0.3725297420478372}",39,22,low,student
user_0048,2023-07-02 00:00:00,"[""图神经网络""]",evening,"[""实验技巧"", ""技术教程""]","{""like"": 0.45651957649461156, ""collect"": 0.200457934816105, ""comment"": 0.2193981427327877, ""share"": 0.1205329056794571, ""follow"": 0.5750792035297724}",6,19,low,student
user_0049,2023-11-23 00:00:00,"[""蛋白质组学""]",morning,"[""最新论文""]","{""like"": 0.9371470028846588, ""collect"": 0.21716766074439697, ""comment"": 0.07975431622074475, ""share"": 0.05480972898846557, ""follow"": 0.4814779077601633}",30,7,medium,researcher
user_0050,2023-09-12 00:00:00,"[""AlphaFold"", ""蛋白质结构预测"", ""免疫学""]",morning,"[""技术教程"", ""综述文章""]","{""like"": 0.43545629621015747, ""collect"": 0.30595410492167946, ""comment"": 0.21779087208142647, ""share"": 0.10780535414528744, ""follow"": 0.3140582865395}",18,131,medium,student
user_0051,2023-09-01 00:00:00,"[""抗体设计""]",evening,"[""经典方法""]","{""like"": 0.8652034325379824, ""collect"": 0.5948768490417666, ""comment"": 0.27508848330354246, ""share"": 0.3261698078801693, ""follow"": 0.44645937619378345}",382,40,medium,student
user_0052,2023-01-22 00:00:00,"[""药物设计"", ""代谢工程""]",evening,"[""实验技巧""]","{""like"": 0.9065417021957412, ""collect"": 0.28659315899469073, ""comment"": 0.04249729399682025, ""share"": 0.09669632050235762, ""follow"": 0.43060699242119005}",1,31,low,researcher
user_0053,2024-04-04 00:00:00,"[""虚拟筛选"", ""图神经网络""]",afternoon,"[""经典方法"", ""算法解读""]","{""like"": 0.517348689929781, ""collect"": 0.4750000201418967, ""comment"": 0.042020913431277236, ""share"": 0.0978492892706007, ""follow"": 0.5919193600224117}",26,2,medium,student
user_0054,2024-02-03 00:00:00,"[""分子对接"", ""罕见病研究""]",morning,"[""新闻动态"", ""实验技巧""]","{""like"": 0.7883878965764246, ""collect"": 0.49390362132910876, ""comment"": 0.2097788817620323, ""share"": 0.6099931711847453, ""follow"": 0.37886416333509876}",76,0,high,researcher
user_0055,2023-11-27 00:00:00,"[""质谱分析""]",night,"[""新闻动态"", ""技术教程""]","{""like"": 0.9607328311561846, ""collect"": 0.379331254400058, ""comment"": 0.4323100610111411, ""share"": 0.44064416132608236, ""follow"": 0.7789295471885516}",3,8,medium,industry
user_0056,2024-03-15 00:00:00,"[""酶催化"", ""X射线晶体学""]",evening,"[""技术教程""]","{""like"": 0.7714960038383121, ""collect"": 0.1844790988397362, ""comment"": 0.1384562283394135, ""share"": 0.15337836473759378, ""follow"": 0.6034646083907156}",7,7,medium,newbie
user_0057,2023-04-15 00:00:00,"[""图神经网络""]",afternoon,"[""实验技巧"", ""新闻动态""]","{""like"": 0.632366583841701, ""collect"": 0.4566121225343316, ""comment"": 0.2413974916945878, ""share"": 0.7148271144157049, ""follow"": 0.6344436986965086}",175,1,medium,industry
user_0058,2023-06-08 00:00:00,"[""质谱分析"", ""免疫学"", ""蛋白质组学""]",evening,"[""技术教程""]","{""like"": 0.7999206102728935, ""collect"": 0.1995709395295254, ""comment"": 0.2793412752005388, ""share"": 0.21305078616910766, ""follow"": 0.679569257008568}",8,18,medium,industry
user_0059,2023-07-03 00:00:00,"[""蛋白质组学"", ""虚拟筛选"", ""NMR""]",evening,"[""应用案例""]","{""like"": 0.5825384870613021, ""collect"": 0.10286546161227891, ""comment"": 0.5484155368360872, ""share"": 0.05680718190715808, ""follow"": 0.20670557979650214}",30,42,medium,researcher
user_0060,2023-06-24 00:00:00,"[""X射线晶体学""]",evening,"[""新闻动态"", ""算法解读""]","{""like"": 0.8219508607180172, ""collect"": 0.5622892619211117, ""comment"": 0.13837813186667844, ""share"": 0.2212470370492468, ""follow"": 0.49221772541343756}",2,15,medium,industry
user_0061,2023-09-25 00:00:00,"[""免疫学"", ""分子对接""]",evening,"[""技术教程""]","{""like"": 0.947656546167943, ""collect"": 0.7101244791646507, ""comment"": 0.48604464470823966, ""share"": 0.23161752045393677, ""follow"": 0.7173532717529026}",64,34,low,industry
user_0062,2023-12-19 00:00:00,"[""虚拟筛选""]",evening,"[""最新论文"", ""综述文章""]","{""like"": 0.4502588543895424, ""collect"": 0.6948448776279366, ""comment"": 0.30361156072937134, ""share"": 0.11900944809325366, ""follow"": 0.3002904543983381}",92,149,medium,student
user_0063,2023-06-05 00:00:00,"[""酶催化"", ""分子动力学""]",evening,"[""经典方法"", ""技术教程""]","{""like"": 0.9410778806243898, ""collect"": 0.2349920036408334, ""comment"": 0.14504558836744022, ""share"": 0.09960785514351364, ""follow"": 0.47667464166124157}",7,11,low,industry
user_0064,2023-04-09 00:00:00,"[""X射线晶体学"", ""蛋白质结构预测""]",night,"[""实验技巧""]","{""like"": 0.8988972558821067, ""collect"": 0.4902142643066974, ""comment"": 0.059444516284477486, ""share"": 0.2690246974965752, ""follow"": 0.3283263187431002}",181,7,high,student
user_0065,2023-10-11 00:00:00,"[""蛋白质-配体相互作用""]",evening,"[""综述文章""]","{""like"": 0.6649110175824188, ""collect"": 0.2135184528339106, ""comment"": 0.2834897332551568, ""share"": 0.14921735191196725, ""follow"": 0.09726291068678398}",34,2,medium,industry
user_0066,2023-04-25 00:00:00,"[""免疫学"", ""膜蛋白""]",morning,"[""应用案例""]","{""like"": 0.888073819169687, ""collect"": 0.06279787812077346, ""comment"": 0.22409431223554202, ""share"": 0.04550268234174697, ""follow"": 0.5234175068191256}",111,11,medium,newbie
user_0067,2023-05-21 00:00:00,"[""图神经网络"", ""抗体设计"", ""机器学习""]",night,"[""应用案例""]","{""like"": 0.5231457973681556, ""collect"": 0.6259245675380449, ""comment"": 0.3606708838916548, ""share"": 0.010198847649360106, ""follow"": 0.4098966726606171}",66,25,low,industry
user_0068,2026-03-13 13:05:12,"[""生物信息学""]",night,"[""新闻动态""]","{""like"": 0.8414165692753653, ""collect"": 0.46124166809881645, ""comment"": 0.06980020143099709, ""share"": 0.08292751611675749, ""follow"": 0.618257328613501}",19,4,medium,student
user_0069,2023-11-22 00:00:00,"[""冷冻电镜""]",afternoon,"[""综述文章""]","{""like"": 0.42267098778767503, ""collect"": 0.12234375790514682, ""comment"": 0.5247824507903817, ""share"": 0.14600881101782476, ""follow"": 0.6202398385220602}",14,33,medium,student
user_0070,2023-06-13 00:00:00,"[""质谱分析""]",afternoon,"[""技术教程""]","{""like"": 0.43606217993840396, ""collect"": 0.5768895939236238, ""comment"": 0.13031112460800323, ""share"": 0.011263623676431134, ""follow"": 0.8221606592023766}",31,4,low,industry
user_0071,2024-06-11 00:00:00,"[""酶催化"", ""分子动力学"", ""癌症生物学""]",night,"[""技术教程"", ""综述文章""]","{""like"": 0.41668081128123075, ""collect"": 0.35774352653031405, ""comment"": 0.20346090089502475, ""share"": 0.06585371606247246, ""follow"": 0.42639634431683415}",95,5,medium,researcher
user_0072,2023-03-26 00:00:00,"[""结构生物学"", ""蛋白质-配体相互作用"", ""药物设计""]",night,"[""新闻动态"", ""实验技巧""]","{""like"": 0.45261748439133326, ""collect"": 0.6395825362781477, ""comment"": 0.08212087446655136, ""share"": 0.2914483189648556, ""follow"": 0.7659121081403345}",64,63,medium,student
user_0073,2023-03-29 00:00:00,"[""免疫学""]",morning,"[""新闻动态""]","{""like"": 0.5747987603853597, ""collect"": 0.660168687631896, ""comment"": 0.18198392914385025, ""share"": 0.2150725574287055, ""follow"": 0.5913696691276445}",25,6,low,student
user_0074,2023-02-03 00:00:00,"[""分子动力学"", ""蛋白质工程"", ""深度学习""]",afternoon,"[""新闻动态""]","{""like"": 0.7915438501441988, ""collect"": 0.2361577226327188, ""comment"": 0.17902860164622367, ""share"": 0.07098508977041933, ""follow"": 0.7900329477219549}",5,5,low,student
user_0075,2023-01-06 00:00:00,"[""蛋白质结构预测"", ""结构生物学"", ""代谢工程""]",evening,"[""新闻动态""]","{""like"": 0.7351187088809221, ""collect"": 0.30968375875965726, ""comment"": 0.018270380458356987, ""share"": 0.0045627890311448266, ""follow"": 0.18454314392255686}",9,88,medium,researcher
user_0076,2024-07-11 00:00:00,"[""酶催化""]",night,"[""综述文章"", ""实验技巧""]","{""like"": 0.7989472223413865, ""collect"": 0.20651351440172458, ""comment"": 0.3166348218399462, ""share"": 0.03892609783484437, ""follow"": 0.6715388656323689}",3,8,low,researcher
user_0077,2023-03-02 00:00:00,"[""蛋白质结构预测""]",evening,"[""新闻动态"", ""综述文章""]","{""like"": 0.17876553732141842, ""collect"": 0.2895320072265288, ""comment"": 0.3520735345888225, ""share"": 0.12058859194077122, ""follow"": 0.7513029129344301}",0,6,medium,student
user_0078,2023-07-23 00:00:00,"[""蛋白质工程"", ""神经退行性疾病"", ""X射线晶体学""]",afternoon,"[""实验技巧"", ""最新论文""]","{""like"": 0.2955023211828438, ""collect"": 0.2653941151591476, ""comment"": 0.7371987992396207, ""share"": 0.0661263554631621, ""follow"": 0.8442857288717445}",100,18,low,industry
user_0079,2023-03-25 00:00:00,"[""图神经网络"", ""扩散模型""]",evening,"[""最新论文""]","{""like"": 0.6580579352691797, ""collect"": 0.07235772632408334, ""comment"": 0.03451422994411443, ""share"": 0.45117598416649307, ""follow"": 0.318730797472771}",31,11,medium,industry
user_0080,2023-07-27 00:00:00,"[""X射线晶体学""]",afternoon,"[""最新论文"", ""算法解读""]","{""like"": 0.35582027138783473, ""collect"": 0.429150864546562, ""comment"": 0.09038475935697818, ""share"": 0.16941077094646204, ""follow"": 0.7957658253929476}",39,7,medium,industry
user_0081,2023-02-13 00:00:00,"[""蛋白质组学""]",afternoon,"[""算法解读"", ""经典方法""]","{""like"": 0.229575815447087, ""collect"": 0.7987396713376044, ""comment"": 0.49313446662966115, ""share"": 0.2323879367403413, ""follow"": 0.7385180586171209}",15,6,medium,researcher
user_0082,2023-08-03 00:00:00,"[""虚拟筛选"", ""抗体设计"", ""X射线晶体学""]",afternoon,"[""应用案例"", ""实验技巧""]","{""like"": 0.6821900926995498, ""collect"": 0.6571078087088829, ""comment"": 0.3753052716396969, ""share"": 0.035529139135318244, ""follow"": 0.13384567970324468}",32,185,high,industry
user_0083,2023-03-06 00:00:00,"[""蛋白质折叠"", ""质谱分析"", ""扩散模型""]",evening,"[""综述文章""]","{""like"": 0.302396006966192, ""collect"": 0.37455030418861257, ""comment"": 0.08676141843964819, ""share"": 0.3691917334031592, ""follow"": 0.4457038952335624}",12,2,low,student
user_0084,2023-01-05 00:00:00,"[""冷冻电镜"", ""蛋白质结构预测"", ""神经退行性疾病""]",morning,"[""算法解读""]","{""like"": 0.6083227971368801, ""collect"": 0.09788342370002397, ""comment"": 0.3759563093338381, ""share"": 0.3245091598079713, ""follow"": 0.4238750152565332}",3,10,medium,student
user_0085,2023-07-31 00:00:00,"[""蛋白质结构预测"", ""X射线晶体学""]",morning,"[""经典方法""]","{""like"": 0.231519854064038, ""collect"": 0.44606633598159046, ""comment"": 0.4904232796407308, ""share"": 0.39880391471008003, ""follow"": 0.1482394991631465}",7,13,medium,industry
user_0086,2025-10-22 00:00:00,"[""罕见病研究""]",evening,"[""实验技巧""]","{""like"": 0.42334302075827085, ""collect"": 0.13085812499844807, ""comment"": 0.7456590284652092, ""share"": 0.003770676658101453, ""follow"": 0.3812443058304806}",24,4,medium,student
user_0087,2023-04-15 00:00:00,"[""蛋白质组学"", ""免疫学""]",morning,"[""新闻动态"", ""技术教程""]","{""like"": 0.88248092174208, ""collect"": 0.7700854545961661, ""comment"": 0.06856608223141217, ""share"": 0.21444762313525884, ""follow"": 0.48257401121152554}",1,3,high,researcher
user_0088,2023-05-24 00:00:00,"[""蛋白质结构预测"", ""分子动力学""]",afternoon,"[""最新论文"", ""新闻动态""]","{""like"": 0.61731052571975, ""collect"": 0.2419927757643728, ""comment"": 0.23479346506575288, ""share"": 0.24074633822555308, ""follow"": 0.33622243756662684}",5,3,medium,student
user_0089,2023-05-23 00:00:00,"[""代谢工程""]",night,"[""新闻动态""]","{""like"": 0.5452552225362177, ""collect"": 0.13013270950852898, ""comment"": 0.2440698787300886, ""share"": 0.09125585131880427, ""follow"": 0.33118724194386057}",4,13,high,newbie
user_0090,2023-02-20 00:00:00,"[""冷冻电镜""]",evening,"[""综述文章""]","{""like"": 0.5291449730583797, ""collect"": 0.41821783843593185, ""comment"": 0.08625783826435231, ""share"": 0.011753061259742304, ""follow"": 0.34996593515988517}",3,2,medium,industry
user_0091,2023-01-24 00:00:00,"[""分子动力学""]",evening,"[""综述文章"", ""技术教程""]","{""like"": 0.25609876105002954, ""collect"": 0.5901160924475437, ""comment"": 0.17535250262426255, ""share"": 0.1933598133772971, ""follow"": 0.15805516893598112}",79,10,low,researcher
user_0092,2023-02-05 00:00:00,"[""NMR"", ""结构生物学""]",night,"[""综述文章"", ""算法解读""]","{""like"": 0.2582679586988157, ""collect"": 0.08796470171441738, ""comment"": 0.29074420736964257, ""share"": 0.22465256368770306, ""follow"": 0.5347843322571729}",66,20,low,industry
user_0093,2023-05-21 00:00:00,"[""NMR"", ""抗体设计"", ""冷冻电镜""]",evening,"[""综述文章"", ""经典方法""]","{""like"": 0.5871626211648073, ""collect"": 0.23605070097475137, ""comment"": 0.3918136908001972, ""share"": 0.235597945612254, ""follow"": 0.25585408067550774}",28,5,low,student
user_0094,2023-02-16 00:00:00,"[""AlphaFold"", ""酶催化""]",afternoon,"[""算法解读"", ""最新论文""]","{""like"": 0.5812012718169879, ""collect"": 0.5245925405778439, ""comment"": 0.383849311480475, ""share"": 0.1880482156302081, ""follow"": 0.10225830732259043}",39,21,medium,student
user_0095,2023-01-09 00:00:00,"[""NMR"", ""分子对接""]",evening,"[""实验技巧""]","{""like"": 0.5453202238287677, ""collect"": 0.6532071960610776, ""comment"": 0.3494129149992108, ""share"": 0.3995944320061645, ""follow"": 0.3721445456322929}",1,5,high,student
user_0096,2023-05-18 00:00:00,"[""蛋白质折叠""]",afternoon,"[""算法解读""]","{""like"": 0.29675954941572313, ""collect"": 0.581024951089872, ""comment"": 0.1346713010455989, ""share"": 0.17001788529071699, ""follow"": 0.4884789751081952}",7,10,low,researcher
user_0097,2023-04-15 00:00:00,"[""冷冻电镜""]",morning,"[""新闻动态""]","{""like"": 0.39896645119607116, ""collect"": 0.6194261832558449, ""comment"": 0.4073780642329722, ""share"": 0.10224411287382446, ""follow"": 0.6601475584678975}",117,9,low,student
